"","FICO","BAE201405ProjLoss","PMI6_1","DTIwoProspLoanAllEmp","REV201","SampleWeight","EALR"
"11243",628,1.1646,0.1074056246,0.09,1665,2.5,1.1646
"11244",639,0.0547752473567273,0.0914968063,0,0,1,0.0547752473567273
"11245",668,0,0.1284756113,0.44,26634,2,0
"11246",671,0,0.1281287596,0.32,9795,5,0
"11247",656,0.00679323844812137,0.0913081862,0.32,6942,2,0.00679323844812137
"11248",704,0.063456,0.1085705758,0.33,5704,1,0.063456
"11249",669,0.205732689600527,0.1004070409,0.21,17369,2,0.205732689600527
"11250",718,0.87885,0.1254064921,0.3,744,1,0.87885
"11251",688,0.0279204560119499,0.1252448192,0.14,14135,2,0.0279204560119499
"11252",661,0.029502,0.1134933788,0.18,8858,1,0.029502
"11253",649,0.65397767847915,0.1157890866,0.25,10847,2,0.65397767847915
"11254",723,0.018538,0.0524167359,0.02,14324,1,0.018538
"11255",683,1.139231,0.1221290112,0.45,34139,1,1.139231
"11256",635,0.0255246865458896,0.1218691234,0.08,10074,1,0.0255246865458896
"11257",708,0.0155928965334633,0.1068696793,0.36,7987,2,0.0155928965334633
"11258",690,0,0.1024854728,0.32,10235,1,0
"11259",682,0,0.1194417865,0.19,7345,4.166667,0
"11260",681,0,0.1199342255,0.2,19275,2,0
"11261",636,0.0290050302190484,0.1003722474,0.23,571,4.166667,0.0290050302190484
"11262",647,0.0546870464712855,0.0725344688,0.13,960,2,0.0546870464712855
"11263",722,1.1646,0.0461997276,0.01,8050,2,1.1646
"11264",638,0,0.1125747446,0.06,8451,4.166667,0
"11265",729,0,0.0481935537,0,1344,1,0
"11266",662,0,0.1179174717,0.2,5063,2,0
"11267",650,0.00605497475816486,0.1288315686,0.22,10793,2,0.00605497475816486
"11268",677,0.0641574183354205,0.1238237822,0.03,1525,2,0.0641574183354205
"11269",695,0.038153,0.0543267757,0.13,11207,1,0.038153
"11270",704,0.102903,0.1124617272,0.37,23753,1,0.102903
"11271",656,0.814328,0.0675168302,0.12,12071,1,0.814328
"11272",640,0.106268980935229,0.1284385612,0.06,2859,2,0.106268980935229
"11273",653,0.0069820993552566,0.0909243607,0.05,2499,2,0.0069820993552566
"11274",702,0.00270801252199351,0.1210075917,0.1,56947,2,0.00270801252199351
"11275",658,0.032938,0.1199586454,0.19,4249,1,0.032938
"11276",643,1.1646,0.1246298553,0.02,145,2,1.1646
"11277",700,0.00944435652630564,0.1259116878,0.3,8326,2,0.00944435652630564
"11278",681,0,0.1218966502,0.3,6153,1,0
"11279",715,0.110189,0.088595188,0.19,5772,1,0.110189
"11280",666,0.740578371638828,0.1279904539,0.25,18407,2,0.740578371638828
"11281",643,0.016435,0.0713084445,0.24,29925,1,0.016435
"11282",667,0.011732,0.1219354635,0.24,947,1,0.011732
"11283",655,0,0.1155060187,0.34,3307,2,0
"11284",653,0.00417547526082641,0.1147568465,0.11,3984,2,0.00417547526082641
"11285",688,0.0758694899603301,0.0812781243,0.03,2308,2,0.0758694899603301
"11286",691,1.09241744752608,0.1042186822,0.24,22909,2,1.09241744752608
"11287",737,0,0.1115965181,0.36,14508,2,0
"11288",636,1.1646,0.1035880356,0.17,4806,1,1.1646
"11289",719,0,0.1014438946,0.49,9566,2,0
"11290",726,0,0.1047495067,0.28,23949,2,0
"11291",748,0.0546870464712855,0.0576964592,0,0,2,0.0546870464712855
"11292",657,1.1646,0.1293990297,0.12,2689,4.166667,1.1646
"11293",678,0,0.126954301,0.33,5405,1,0
"11294",645,0.049056,0.09059633,0.12,7463,1,0.049056
"11295",710,0.0515658205271505,0.10288651,0.35,20301,2,0.0515658205271505
